,6PG5,6PG6,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG24,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML13,ML14,ML15,ML17,6PG33,6PG34,6PG35
56,0.027008628,0.067417387,0.166781015,0.095416253,0.042064375,0.000684791,0.093055404,0.029421172,0.028821224,0.001596397,0.004940835,0.035116984,0.04557626,0.137665106,0.009084523,0.11348145,0.181045249,0.19160461,0.131811151,0.190357521,0.140582092,0.578353315
57,0.028875152,0.056884513,0.038892308,0.027567239,0.014078023,0.005865948,0.074905132,0.100329728,0.041156006,0.287020226,0.022408388,0.242482478,0.031791852,0.177573555,0.159420802,0.113064231,0.038325716,0.169487724,0.471745583,0.255026337,0.055595398,0.297758216
58,0.168990817,0.819962701,0.074748934,0.036300222,0.069309203,0.004030376,0.622394038,0.03639134,0.001210663,0.036520602,0.005939894,0.266890754,0.022596599,0.034961998,0.009275638,0.114085408,0.069433892,0.070220038,0.091957341,0.062082357,0.219017864,0.086027439
59,0.037985723,0.062185935,0.072095778,0.104910869,0.001408156,0.003973745,0.087973096,0.127652519,0.106439977,0.004070428,0.038397587,0.060941441,0.042999277,0.076227168,0.070710972,0.046703153,0.251564966,0.007173618,0.276058543,0.122372039,0.004222952,0.063246086
60,0.047168715,0.24746601,0.044774169,0.049235739,0.007519727,0.001908476,0.249207582,0.071563109,0.004672548,0.11406374,0.104562731,0.005671199,0.17247894,0.123386012,0.056535399,0.091544138,0.037174849,0.031355202,0.087335004,0.326316743,0.007582492,0.210705277
61,0.130247009,0.062699591,0.260878569,0.094560239,0.03417146,0.027271566,0.493819901,0.015936626,0.000978253,0.011115776,0.028901051,0.120242182,0.037352459,0.022633476,0.213672162,0.073902963,0.09866138,0.074453423,0.101072732,0.341572089,0.025447628,0.308305379
62,0.203748701,0.067882552,0.16983869,0.038546378,0.012539579,0.008221093,0.044961668,0.027808776,0.002846013,0.177073947,0.095055322,0.144915229,0.250698902,0.023814504,0.061762632,0.123866114,0.209588978,0.136535937,0.075989801,0.164006956,0.112316122,0.089055373
63,0.102678096,0.071724921,0.03212138,0.144606136,0.009676791,0.11974263,0.073259502,0.031943029,0.001630341,0.052023658,0.016363214,0.102431899,0.027438525,0.042237391,0.11849104,0.02219435,0.075251939,0.040270999,0.326384119,0.044528551,0.005923991,0.407001273
64,0.001249773,0.270519619,0.030444679,0.006532851,0.029105802,0.031833658,0.197628602,0.135412724,0.045751911,0.342100478,0.001404346,0.022688925,0.142771507,0.185925569,0.036363673,0.033304077,0.185712454,0.139540848,0.147005609,0.154498427,0.042384619,0.078822913
65,0.033497011,0.051431505,0.051709221,0,0.00828825,0.000793863,0.067142015,0.207198621,0.035121151,0.123548836,0.031611351,0.027956144,0.113483254,0.008475981,0.112675188,0.189809261,0.076929573,0.000596732,0.22398936,0.028472193,0.065769803,0.046026218
66,0.121514437,0.05419568,0.040524204,0.078157363,0.015901667,0.020859084,0.005545811,0.098489327,0.019806801,0.183643064,0.134493925,0.229319542,0.14795051,0.044981751,0.119161437,0.029067157,0.075427921,0.040168373,0.067642613,0.207486895,0.030744831,0.157284014
67,0.029539323,0.075243852,0.4413578,0.007016514,0.037718362,0.182311996,0.038861353,0.074216843,0.116476763,0.161262266,0.034109482,0.42515792,0.280596798,0.005185576,0.090237413,0.054640073,0.052640371,0.146312475,0.075148258,0.019560707,0.221108163,0.068464981
68,0.044568248,0.091284323,0.057421422,0.196140895,0.01209565,0.002758579,0.047276573,0.136938977,0.006874075,0.066252745,0.046249703,0.303849616,0.113878766,0.022024805,0.180637229,0.072395422,0.181231293,0.048568697,0.272290769,0.113591117,0.051047572,0.051360736
